provider,model,input,output,cached_input,batch_input,batch_output
openai,gpt-5.2,1.75,14.00,0.175,,
openai,gpt-5.1,1.25,10.00,0.125,,
openai,gpt-5,1.25,10.00,0.125,,
openai,gpt-5-mini,0.25,2.00,0.025,,
openai,gpt-5-nano,0.05,0.40,0.005,,
openai,gpt-5.2-pro,21.00,168.00,,,
openai,gpt-5-pro,15.00,120.00,,,
openai,gpt-4.1,2.00,8.00,0.50,1.00,4.00
openai,gpt-4.1-mini,0.40,1.60,0.10,0.20,0.80
openai,gpt-4.1-nano,0.10,0.40,0.025,0.05,0.20
openai,o3-mini,1.10,4.40,0.275,0.55,2.20
openai,o4-mini,1.10,4.40,0.275,0.55,2.20
gemini,gemini-3-pro-preview,2.00,12.00,,1.00,6.00
gemini,gemini-3-flash-preview,0.50,3.00,,0.25,1.50
gemini,gemini-2.5-pro,1.25,10.00,,0.625,5.00
gemini,gemini-2.5-flash,0.30,2.50,,0.15,1.25
anthropic,claude-opus-4-6,5.00,25.00,0.50,2.50,12.50
anthropic,claude-opus-4-5,5.00,25.00,0.50,2.50,12.50
anthropic,claude-sonnet-4-6,3.00,15.00,0.30,1.50,7.50
anthropic,claude-sonnet-4-5,3.00,15.00,0.30,1.50,7.50
anthropic,claude-sonnet-4,3.00,15.00,0.30,1.50,7.50
anthropic,claude-haiku-4-5,1.00,5.00,0.10,0.50,2.50
together,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.27,0.85,,,
together,Qwen/Qwen3.5-397B-A17B,0.60,3.60,,,
together,Qwen/Qwen3-Coder-Next,0.50,1.20,,,
together,Qwen/Qwen3-Coder-480B-A35B-Instruct,2.00,2.00,,,
together,Qwen/Qwen3-Next-80B-A3B-Instruct,0.15,1.50,,,
together,Qwen/Qwen3-Next-80B-A3B-Thinking,0.15,1.50,,,
together,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0.20,0.60,,,
together,Qwen/Qwen3-235B-A22B-Thinking-2507-FP8,0.65,3.00,,,
together,Qwen/Qwen3-VL-32B-Instruct,0.50,1.50,,,
together,Qwen/Qwen2.5-7B-Instruct-Turbo,0.30,0.30,,,
together,deepseek-ai/DeepSeek-R1-0528,3.00,7.00,,,
together,deepseek-ai/DeepSeek-V3.1,0.60,1.70,,,
together,deepseek-ai/DeepSeek-V3-0324,1.25,1.25,,,
together,gpt-oss/gpt-oss-120B,0.15,0.60,,,
together,gpt-oss/gpt-oss-20B,0.05,0.20,,,
together,Kimi/K2.5,0.50,2.80,,,
together,Kimi/K2-Instruct,1.00,3.00,,,
together,Kimi/K2-Thinking,1.20,4.00,,,
together,MiniMax/M2.5,0.30,1.20,,,
together,GLM/GLM-5,1.00,3.20,,,
together,GLM/GLM-4.7,0.45,2.00,,,
together,GLM/GLM-4.5-Air,0.20,1.10,,,
together,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.88,0.88,,,
together,meta-llama/Llama-3.2-3B-Instruct-Turbo,0.06,0.06,,,
together,meta-llama/Llama-3.1-405B-Instruct-Turbo,3.50,3.50,,,
together,meta-llama/Llama-3.1-70B-Instruct-Turbo,0.88,0.88,,,
together,meta-llama/Llama-3.1-8B-Instruct-Turbo,0.18,0.18,,,
together,meta-llama/Llama-3-8B-Instruct-Lite,0.10,0.10,,,
together,mistralai/Mistral-7B-Instruct-v0.2,0.20,0.20,,,
together,mistralai/Mistral-Small-3,0.10,0.30,,,
together,google/gemma-3n-e4b-it,0.02,0.04,,,
